,symbol,interval,open,high,low,close,volume,macd,macdsignal,ema200,GT_ema200,signal_over_under,cross,trade_status,take_profit,stop_loss,win,loss
2021-01-01 22:30:00,BTCUSD,30,29529.5,29530.0,29365.0,29407.5,42203779,108.73793929722888,105.029834970028,27965.94805398313,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-01 23:00:00,BTCUSD,30,29407.5,29463.5,29315.0,29380.0,36236939,98.87634385429192,103.79913674688079,27980.018222600214,Bull,1,1.0,,0.0,0.0,0.0,0.0
2021-01-01 23:30:00,BTCUSD,30,29380.0,29380.5,29118.5,29279.0,111443422,81.966246639975,99.43255872549963,27992.94341441514,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-02 00:00:00,BTCUSD,30,29279.0,29390.0,29220.0,29360.5,37815590,74.28493119696577,94.40303321979286,28006.550942629914,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-02 00:30:00,BTCUSD,30,29360.5,29429.0,29330.0,29366.5,29053477,67.89888711828826,89.10220399949193,28020.082774046532,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-02 01:00:00,BTCUSD,30,29366.5,29409.0,29330.0,29360.0,22401674,61.60328122054125,83.60241944370179,28033.415283757513,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-02 01:30:00,BTCUSD,30,29360.0,29360.0,29020.0,29147.5,121324476,39.01722781096032,74.6853811171535,28044.500703819627,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-02 02:00:00,BTCUSD,30,29147.5,29320.5,29063.0,29089.5,100991074,16.250180520706635,62.998340997864126,28054.898706766697,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-02 02:30:00,BTCUSD,30,29089.5,29148.0,28715.5,29120.0,173787808,0.6606114981914288,50.530795097929584,28065.49672958494,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-02 03:00:00,BTCUSD,30,29120.0,29162.0,29029.5,29110.5,56887097,-12.318801399767835,37.9608757983901,28075.89477207663,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-02 03:30:00,BTCUSD,30,29110.5,29163.5,29074.0,29081.0,29498869,-24.70074824119365,25.428550990473347,28085.895819120644,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-02 04:00:00,BTCUSD,30,29081.0,29285.5,28944.0,29265.0,84946312,-19.44215105722469,16.45441058093374,28097.628199029892,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-02 04:30:00,BTCUSD,30,29265.0,29338.0,29212.5,29296.0,76837667,-12.62767006058857,10.637994452629277,28109.55229655198,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-02 05:00:00,BTCUSD,30,29296.0,29317.0,29252.5,29303.5,34114209,-6.546493552556058,7.20109685159221,28121.432373203206,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-02 05:30:00,BTCUSD,30,29303.5,29365.5,29240.0,29244.5,30894544,-6.413987814899883,4.4780799182937905,28132.607175459892,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-02 06:00:00,BTCUSD,30,29244.5,29365.0,29190.5,29340.0,27896748,1.3811547181940114,3.858694878273835,28144.621034410542,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-02 06:30:00,BTCUSD,30,29340.0,29388.5,29314.5,29326.5,23069349,6.3957973897813645,4.366115380575341,28156.381024117898,Bull,0,-1.0,,0.0,0.0,0.0,0.0
2021-01-02 07:00:00,BTCUSD,30,29326.5,29371.0,29307.0,29340.0,14650653,11.328684982738196,5.758629301007912,28168.158327360507,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 07:30:00,BTCUSD,30,29340.0,29399.0,29334.5,29394.5,19099533,19.41195947884262,8.489295336574854,28180.360732063386,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 08:00:00,BTCUSD,30,29394.5,29407.0,29051.0,29120.0,99719390,3.6263544888497563,7.516707167029834,28189.710376520467,Bull,1,1.0,,0.0,0.0,0.0,0.0
2021-01-02 08:30:00,BTCUSD,30,29120.0,29253.0,29081.5,29248.5,39893285,1.4681015253081569,6.306986038685499,28200.24559665459,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-02 09:00:00,BTCUSD,30,29248.5,29295.5,29177.0,29276.0,27630093,1.954164285776642,5.436421688103727,28210.949620568474,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-02 09:30:00,BTCUSD,30,29276.0,29481.5,29275.5,29455.0,52070990,16.591915288587188,7.667520408200419,28223.328231309086,Bull,0,-1.0,,0.0,0.0,0.0,0.0
2021-01-02 10:00:00,BTCUSD,30,29455.0,29549.0,29416.0,29491.0,44998244,30.742951939919294,12.282606714544194,28235.941880748796,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 10:30:00,BTCUSD,30,29491.0,29501.5,29401.5,29402.0,34777054,34.379884336947725,16.7020622390249,28247.544449099554,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 11:00:00,BTCUSD,30,29402.0,29461.0,29358.0,29394.5,33758437,36.23924864417131,20.609499520054182,28258.95694214334,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 11:30:00,BTCUSD,30,29394.5,29423.5,29346.5,29423.5,25818730,39.59642297439859,24.406884210923064,28270.544435256343,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 12:00:00,BTCUSD,30,29423.5,29429.0,29306.0,29383.0,27610422,38.54467724481219,27.234442817700888,28281.61364485578,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 12:30:00,BTCUSD,30,29383.0,29460.0,29323.5,29430.0,27634549,41.030692103453475,29.993692674851406,28293.040374757715,Bull,0,0.0,,0.0,0.0,0.0,0.0
