,symbol,interval,open_time,open,high,low,close,volume,turnover
2020-12-30 16:30:00,BTCUSD,30,1609317000,27971,28063,27629,27743,192648001,6913.686626249918
2020-12-30 17:00:00,BTCUSD,30,1609318800,27743,27855,27371.5,27805,195817298,7098.828769660046
2020-12-30 17:30:00,BTCUSD,30,1609320600,27805,27907.5,27690.5,27885,38595096,1388.0740045199877
2020-12-30 18:00:00,BTCUSD,30,1609322400,27885,28036,27780,28019.5,61876710,2217.1288017199968
2020-12-30 18:30:00,BTCUSD,30,1609324200,28019.5,28060.5,27826,27868,44411041,1589.6252973999924
2020-12-30 19:00:00,BTCUSD,30,1609326000,27868,27961.5,27743.5,27935.5,45195345,1622.381696620015
2020-12-30 19:30:00,BTCUSD,30,1609327800,27935.5,27935.5,27577,27832.5,110788174,3997.1588993400114
2020-12-30 20:00:00,BTCUSD,30,1609329600,27832.5,27846.5,27551.5,27673.5,60719218,2193.3251133000304
2020-12-30 20:30:00,BTCUSD,30,1609331400,27673.5,27921,27665,27834.5,41962560,1508.3022163699954
2020-12-30 21:00:00,BTCUSD,30,1609333200,27834.5,28016,27767.5,27952,56272429,2016.0001588300217
2020-12-30 21:30:00,BTCUSD,30,1609335000,27952,28162,27828.5,27860,90762745,3240.5039024599614
2020-12-30 22:00:00,BTCUSD,30,1609336800,27860,28020.5,27859.5,27976.5,49953762,1788.0155312799893
2020-12-30 22:30:00,BTCUSD,30,1609338600,27976.5,28170,27944,28169.5,55461426,1975.075730339995
2020-12-30 23:00:00,BTCUSD,30,1609340400,28169.5,28283,28018,28160.5,88030849,3125.2947107300047
2020-12-30 23:30:00,BTCUSD,30,1609342200,28160.5,28199,28064,28147,43498128,1546.3881084000145
2020-12-31 00:00:00,BTCUSD,30,1609344000,28147,28235,27904,28108,91151229,3248.789439409991
2020-12-31 00:30:00,BTCUSD,30,1609345800,28108,28186.5,28108,28169.5,41906693,1488.578741030004
2020-12-31 01:00:00,BTCUSD,30,1609347600,28169.5,28294,28072,28187,46367917,1644.901009210001
2020-12-31 01:30:00,BTCUSD,30,1609349400,28187,28320,28181.5,28262,38071648,1347.0519295800066
2020-12-31 02:00:00,BTCUSD,30,1609351200,28262,28454,28261.5,28368,84907144,2993.9140101100115
2020-12-31 02:30:00,BTCUSD,30,1609353000,28368,28559.5,28322,28538,95501599,3352.8262056800145
2020-12-31 03:00:00,BTCUSD,30,1609354800,28538,28923.5,28538,28813,236968526,8236.531960559885
2020-12-31 03:30:00,BTCUSD,30,1609356600,28813,28910,28501.5,28791.5,177913319,6196.770297429911
2020-12-31 04:00:00,BTCUSD,30,1609358400,28791.5,28825,28634,28766.5,107669320,3747.375363419994
2020-12-31 04:30:00,BTCUSD,30,1609360200,28766.5,29037,28702.5,28805,178566446,6185.561296410002
2020-12-31 05:00:00,BTCUSD,30,1609362000,28805,28886,28567.5,28884,111324837,3875.3364836799396
2020-12-31 05:30:00,BTCUSD,30,1609363800,28884,28990,28725.5,28900,96041196,3325.5578085200073
2020-12-31 06:00:00,BTCUSD,30,1609365600,28900,28916,28750.5,28870.5,54325010,1884.6980484800088
2020-12-31 06:30:00,BTCUSD,30,1609367400,28870.5,28890.5,28567.5,28721.5,77893712,2712.8521755499924
2020-12-31 07:00:00,BTCUSD,30,1609369200,28721.5,28882.5,28660,28816.5,68926076,2397.6666905999987
2020-12-31 07:30:00,BTCUSD,30,1609371000,28816.5,28924.5,28771,28892,54735725,1897.0594706199774
2020-12-31 08:00:00,BTCUSD,30,1609372800,28892,29358,28892,29243.5,233106209,7982.851428049995
2020-12-31 08:30:00,BTCUSD,30,1609374600,29243.5,29336.5,29101.5,29150.5,75910938,2597.564112579971
2020-12-31 09:00:00,BTCUSD,30,1609376400,29150.5,29211,28196.5,28485,381612662,13349.460579939874
2020-12-31 09:30:00,BTCUSD,30,1609378200,28485,28781.5,28420,28759.5,92743147,3241.48814635005
2020-12-31 10:00:00,BTCUSD,30,1609380000,28759.5,28803.5,28619.5,28724,41878298,1458.7355532900033
2020-12-31 10:30:00,BTCUSD,30,1609381800,28724,28810,28632,28736,31126485,1083.54319058001
2020-12-31 11:00:00,BTCUSD,30,1609383600,28736,28970,28735.5,28955,57281366,1983.8277271299928
2020-12-31 11:30:00,BTCUSD,30,1609385400,28955,29155.5,28881,29038,75066979,2584.626463810031
2020-12-31 12:00:00,BTCUSD,30,1609387200,29038,29225.5,28992,29066.5,72165629,2480.029388769991
2020-12-31 12:30:00,BTCUSD,30,1609389000,29066.5,29105.5,28903,29057,50893954,1753.8935113100106
2020-12-31 13:00:00,BTCUSD,30,1609390800,29057,29057.5,28919.5,28945,36258811,1250.4725920300107
2020-12-31 13:30:00,BTCUSD,30,1609392600,28945,29058.5,28790,29019.5,59846991,2068.2601467199947
2020-12-31 14:00:00,BTCUSD,30,1609394400,29019.5,29119.5,28910.5,28977.5,51190642,1763.9824127500115
2020-12-31 14:30:00,BTCUSD,30,1609396200,28977.5,29110,28891.5,28929.5,35127525,1211.005079210004
2020-12-31 15:00:00,BTCUSD,30,1609398000,28929.5,29362.5,28929,29236.5,89071723,3049.604403500002
