,id,symbol,period,interval,start_at,open_time,volume,open,high,low,close,turnover
2021-10-12 12:00:00,14145698,BTCUSDT,720,720,1634040000,1634040000,32941.857,57244.0,57470.0,53700.0,56006.0,1845520683.761
2021-10-13 00:00:00,14195079,BTCUSDT,720,720,1634083200,1634083200,22829.985,56006.0,56696.0,54265.5,55213.0,1262323514.526
2021-10-13 12:00:00,14244430,BTCUSDT,720,720,1634126400,1634126400,27864.584,55213.0,57799.5,54550.5,57369.5,1572264536.951
2021-10-14 00:00:00,14293803,BTCUSDT,720,720,1634169600,1634169600,19629.383,57369.5,58653.0,57150.0,57653.0,1135971473.8645
2021-10-14 12:00:00,14342750,BTCUSDT,720,720,1634212800,1634212800,18949.892,57653.0,58135.0,56747.0,57355.5,1089518574.4125
2021-10-15 00:00:00,14392571,BTCUSDT,720,720,1634256000,1634256000,30105.772,57355.5,60371.5,56900.0,59560.5,1776312633.279
2021-10-15 12:00:00,14441504,BTCUSDT,720,720,1634299200,1634299200,41016.818,59560.5,63801.0,59235.5,61743.5,2508043197.061
2021-10-16 00:00:00,14491292,BTCUSDT,720,720,1634342400,1634342400,13768.127,61743.5,62419.5,61200.0,61724.0,850432497.5185
2021-10-16 12:00:00,14540631,BTCUSDT,720,720,1634385600,1634385600,19224.602,61724.0,61724.0,60217.0,60912.0,1170926703.605
2021-10-17 00:00:00,14590013,BTCUSDT,720,720,1634428800,1634428800,13476.831,60912.0,61500.0,60369.0,61034.5,822224256.695
2021-10-17 12:00:00,14639352,BTCUSDT,720,720,1634472000,1634472000,23608.739,61034.5,61722.0,58803.5,61544.0,1428583802.5605
2021-10-18 00:00:00,14688798,BTCUSDT,720,720,1634515200,1634515200,24855.434,61544.0,62769.0,60620.0,60989.5,1536813205.339
2021-10-18 12:00:00,14738207,BTCUSDT,720,720,1634558400,1634558400,23447.215,60989.5,62400.0,59917.0,62033.5,1440943668.439
2021-10-19 00:00:00,14787457,BTCUSDT,720,720,1634601600,1634601600,17437.248,62033.5,63050.0,61700.0,62200.0,1086669003.0755
2021-10-19 12:00:00,14836815,BTCUSDT,720,720,1634644800,1634644800,36673.744,62200.0,64480.0,61367.5,64264.5,2313730027.2765
2021-10-20 00:00:00,14886235,BTCUSDT,720,720,1634688000,1634688000,10539.135,64264.5,64366.0,63501.0,63877.5,674259562.9685
2021-10-20 12:00:00,14936089,BTCUSDT,720,720,1634731200,1634731200,32194.914,63877.5,67210.0,63865.0,66055.0,2122469687.5215
2021-10-21 00:00:00,14986696,BTCUSDT,720,720,1634774400,1634774400,33598.667,66055.0,66726.0,64175.0,64923.5,2192748727.1625
2021-10-21 12:00:00,15037347,BTCUSDT,720,720,1634817600,1634817600,41425.888,64923.5,65660.0,61880.0,62246.0,2626906017.6315
2021-10-22 00:00:00,15087915,BTCUSDT,720,720,1634860800,1634860800,17122.5,62246.0,63774.0,62217.5,63349.0,1080027964.0715
2021-10-22 12:00:00,15138479,BTCUSDT,720,720,1634904000,1634904000,36864.976,63349.0,63700.0,60100.0,60760.0,2263198285.1765
2021-10-23 00:00:00,15189107,BTCUSDT,720,720,1634947200,1634947200,19572.485,60760.0,61809.0,59625.0,61572.0,1191476790.8605
2021-10-23 12:00:00,15239761,BTCUSDT,720,720,1634990400,1634990400,13783.943,61572.0,61753.5,60738.5,61357.0,844949764.914
2021-10-24 00:00:00,15290239,BTCUSDT,720,720,1635033600,1635033600,11883.157,61357.0,61521.0,60202.0,60363.0,723563114.1745
2021-10-24 12:00:00,15340839,BTCUSDT,720,720,1635076800,1635076800,21795.396,60363.0,61343.0,59456.0,60901.5,1315668647.8175
2021-10-25 00:00:00,15391508,BTCUSDT,720,720,1635120000,1635120000,15101.683,60901.5,63194.0,60708.5,62800.0,940500023.262
2021-10-25 12:00:00,15445442,BTCUSDT,720,720,1635163200,1635163200,16752.19,62800.0,63750.5,62590.5,63108.0,1057689149.4535
2021-10-26 00:00:00,15504560,BTCUSDT,720,720,1635206400,1635206400,11041.768,63108.0,63301.5,62272.0,62816.0,692954893.461
2021-10-26 12:00:00,15563484,BTCUSDT,720,720,1635249600,1635249600,24632.831,62816.0,62917.0,59888.0,60310.5,1516749398.974
2021-10-27 00:00:00,15622588,BTCUSDT,720,720,1635292800,1635292800,32393.628,60310.5,61520.0,57919.5,58681.5,1933215413.5015
2021-10-27 12:00:00,15681646,BTCUSDT,720,720,1635336000,1635336000,17284.403,58681.5,59684.0,58255.0,58481.5,1018194699.966
2021-10-28 00:00:00,15740557,BTCUSDT,720,720,1635379200,1635379200,20608.833,58481.5,61310.0,58144.0,60968.5,1230374888.5615
2021-10-28 12:00:00,15799734,BTCUSDT,720,720,1635422400,1635422400,37239.748,60968.5,62664.5,57476.0,60678.5,2255384523.4965
2021-10-29 00:00:00,15858667,BTCUSDT,720,720,1635465600,1635465600,18818.699,60678.5,62149.0,60111.0,60954.0,1149990234.1415
2021-10-29 12:00:00,15917761,BTCUSDT,720,720,1635508800,1635508800,18112.837,60954.0,62988.5,60740.0,62300.0,1123877030.799
2021-10-30 00:00:00,15976710,BTCUSDT,720,720,1635552000,1635552000,12118.254,62300.0,62386.5,61050.0,61650.5,747938407.6075
